model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
GBM_grid_1_AutoML_1_20250817_131550_model_1,0.9984870975108472,0.0483898184936032,0.9983384309059986,0.0117949303493948,0.1118083567477796,0.0125011086386387
GBM_grid_1_AutoML_1_20250817_131550_model_5,0.9984870975108472,0.0488890112757422,0.9983384309059986,0.0117949303493948,0.1120441454479085,0.012553890529152
GBM_grid_1_AutoML_1_20250817_131550_model_9,0.9984813884448503,0.0485791634800888,0.9983421195628982,0.0117949303493948,0.113468471065429,0.0128750939259261
GBM_grid_1_AutoML_1_20250817_131550_model_10,0.9984813884448503,0.0492222435554528,0.9983316513939902,0.0117949303493948,0.1117064268548627,0.0124783258006807
GBM_grid_1_AutoML_1_20250817_131550_model_11,0.9984813884448503,0.0502292543605233,0.9983421195628982,0.0117949303493948,0.1150815945552635,0.013243773405382
GBM_grid_1_AutoML_1_20250817_131550_model_13,0.9984813884448503,0.0496183940345905,0.9983421195628982,0.0117949303493948,0.1144969828708949,0.013109559086538
XRT_1_AutoML_1_20250817_131550,0.9984699703128568,0.0943816791953696,0.9983149045596024,0.0117949303493948,0.1713555460865578,0.0293627231746224
GBM_3_AutoML_1_20250817_131550,0.9984699703128568,0.0485512845083436,0.9983169768596132,0.0117949303493948,0.1138047765213964,0.0129515271590849
DRF_1_AutoML_1_20250817_131550,0.9984699703128568,0.0439070354089584,0.9983149045596024,0.0117949303493948,0.1094112644918158,0.011970824797698
StackedEnsemble_BestOfFamily_3_AutoML_1_20250817_131550,0.9984585521808632,0.0482405201659326,0.9983023451106892,0.0117949303493948,0.115885742605199,0.0134295053391584
StackedEnsemble_AllModels_2_AutoML_1_20250817_131550,0.9984585521808632,0.0490089423008319,0.9983023451106892,0.0117949303493948,0.1162871143609524,0.0135226929663972
StackedEnsemble_BestOfFamily_2_AutoML_1_20250817_131550,0.9984585521808632,0.0482994554352492,0.9983023451106892,0.0117949303493948,0.1160716090226444,0.0134726184211056
GBM_2_AutoML_1_20250817_131550,0.9984585521808632,0.0499822274371733,0.9983130793452648,0.0117949303493948,0.1140388330511177,0.0130048554436607
StackedEnsemble_AllModels_1_AutoML_1_20250817_131550,0.9984585521808632,0.0489540950978168,0.9983023451106892,0.0117949303493948,0.1163272551343365,0.013532030287089
GBM_5_AutoML_1_20250817_131550,0.9984471340488696,0.0494552582377461,0.9982874390909712,0.0117949303493948,0.1132275956798699,0.012820488423444
GBM_1_AutoML_1_20250817_131550,0.9984300068508792,0.0499370372160945,0.9982645607145482,0.0117949303493948,0.1131169420301737,0.0127954425742576
GBM_grid_1_AutoML_1_20250817_131550_model_6,0.9984300068508792,0.0472889169208051,0.9982645607145482,0.0117949303493948,0.112291949516054,0.012609481926116
GBM_grid_1_AutoML_1_20250817_131550_model_7,0.9984300068508792,0.0483611804846809,0.9982645607145482,0.0117949303493948,0.1128351984808123,0.0127317820162043
StackedEnsemble_AllModels_3_AutoML_1_20250817_131550,0.9984242977848824,0.0518149105255225,0.998269160716414,0.0117949303493948,0.1208366210890563,0.0146014889962201
GBM_4_AutoML_1_20250817_131550,0.9984128796528888,0.0491677241081902,0.9982542546966964,0.0117949303493948,0.113558550163713,0.0128955443152845
GBM_grid_1_AutoML_1_20250817_131550_model_8,0.9984128796528888,0.049781768154274,0.9982404888004957,0.0117949303493948,0.1120541292162531,0.0125561278744127
StackedEnsemble_BestOfFamily_1_AutoML_1_20250817_131550,0.9984014615208952,0.0500939411265976,0.9982277036063076,0.0117949303493948,0.1150806713207666,0.0132435609116383
StackedEnsemble_BestOfFamily_4_AutoML_1_20250817_131550,0.9982986983329528,0.0482818796115522,0.9981323194632205,0.0117949303493948,0.1158830071884139,0.0134288713550299
StackedEnsemble_AllModels_4_AutoML_1_20250817_131550,0.998264443936972,0.0506009148671666,0.9980991350689454,0.0117949303493948,0.1187390460050831,0.0140989610461972
DeepLearning_grid_1_AutoML_1_20250817_131550_model_2,0.9982416076729846,0.0506980210580418,0.9980576779588388,0.0117949303493948,0.1089536357755673,0.0118708947487149
GBM_grid_1_AutoML_1_20250817_131550_model_12,0.9981845170130166,0.0510929660192544,0.9979256193108508,0.0117949303493948,0.1125474479313169,0.0126669280358524
GLM_1_AutoML_1_20250817_131550,0.998173098881023,0.051473878722496,0.997991529463863,0.0117949303493948,0.1159104810369159,0.0134352396142092
DeepLearning_grid_1_AutoML_1_20250817_131550_model_6,0.998173098881023,0.0708887833827114,0.997991529463863,0.0117949303493948,0.1384981698672036,0.0191817430565647
GBM_grid_1_AutoML_1_20250817_131550_model_3,0.9981673898150262,0.0528416028328126,0.9979997905395837,0.0151061886275405,0.1203555807324099,0.0144854658134356
GBM_grid_1_AutoML_1_20250817_131550_model_4,0.9981502626170358,0.0524573344236284,0.9979795447822792,0.0151061886275405,0.1185835435800775,0.0140620568080081
DeepLearning_1_AutoML_1_20250817_131550,0.9981388444850422,0.0537250199139568,0.9979587834698,0.0117949303493948,0.1143052545613053,0.0130656912203248
DeepLearning_grid_1_AutoML_1_20250817_131550_model_1,0.998116008221055,0.0691724276266417,0.9979484082813618,0.0135875770723909,0.1325271786123949,0.0175634530709616
DeepLearning_grid_2_AutoML_1_20250817_131550_model_1,0.9977506279972596,0.0663315732699935,0.9974772797677912,0.0117949303493948,0.1287650343822944,0.0165804340794734
DeepLearning_grid_2_AutoML_1_20250817_131550_model_2,0.9977506279972596,0.0624775273873437,0.9974772797677912,0.0117949303493948,0.1245009320463364,0.0155004820804064
DeepLearning_grid_3_AutoML_1_20250817_131550_model_3,0.9977506279972596,0.0640687057667103,0.9974772797677912,0.0117949303493948,0.1188029774989683,0.0141141474626203
DeepLearning_grid_3_AutoML_1_20250817_131550_model_2,0.9977506279972596,0.0692527343924862,0.9974772797677912,0.0117949303493948,0.1249288732465552,0.0156072233706538
DeepLearning_grid_1_AutoML_1_20250817_131550_model_4,0.9977506279972596,0.0651583943866487,0.9974772797677912,0.0117949303493948,0.1206120783364968,0.0145472734406492
DeepLearning_grid_3_AutoML_1_20250817_131550_model_1,0.9977506279972596,0.086918066727581,0.9974772797677912,0.0117949303493948,0.1597637858104987,0.0255244672565029
DeepLearning_grid_2_AutoML_1_20250817_131550_model_3,0.9977163736012788,0.0680152384564368,0.9974453849010392,0.0117949303493948,0.1230039899989401,0.0151299815556593
DeepLearning_grid_1_AutoML_1_20250817_131550_model_3,0.9977163736012788,0.0619107714340459,0.9974453849010392,0.0117949303493948,0.1232879182833328,0.0151999107946377
DeepLearning_grid_1_AutoML_1_20250817_131550_model_5,0.9975336834893812,0.0658547307604326,0.9972531212566722,0.0134505594884676,0.1288888677011374,0.0166123402172813
StackedEnsemble_BestOfFamily_5_AutoML_1_20250817_131550,0.9973852477734644,0.0534753006410897,0.9952739781303128,0.0117949303493948,0.1194134728181877,0.0142595774905
GBM_grid_1_AutoML_1_20250817_131550_model_2,0.9970712491436402,0.05084271524777,0.9947108893414978,0.0117949303493948,0.1121629310181046,0.0125805230945721
